b,g,r,pele
16,15,5,2
99,97,43,2
128,167,219,1
204,203,207,2
33,35,6,2
182,178,137,2
182,179,135,2
51,95,142,1
145,185,250,1
201,200,162,2
90,126,196,1
79,115,191,1
105,153,225,1
107,98,108,2
231,241,248,2
113,151,215,1
111,134,196,1
61,21,240,2
142,150,217,1
75,86,124,1
0,0,255,2
129,166,226,1
43,94,150,1
170,186,233,1
165,162,111,2
197,208,252,1
57,109,155,1
107,143,213,1
249,237,235,2
112,111,53,2
163,162,112,2
172,171,121,2
166,163,112,2
113,151,209,1
59,102,151,1
168,165,114,2
184,179,134,2
129,129,69,2
149,189,254,1
160,176,229,1
181,178,134,2
24,25,5,2
110,146,222,1
14,10,236,2
81,90,128,1
17,8,189,2
49,49,13,2
133,136,91,2
188,187,143,2
166,180,232,1
180,177,126,2
165,164,114,2
38,29,139,2
158,160,118,2
151,189,253,1
157,163,128,2
192,191,153,2
50,119,109,2
170,183,227,1
180,180,134,2
132,177,228,1
178,175,131,2
53,51,20,2
124,115,155,2
55,59,23,2
96,139,218,1
180,180,134,2
100,152,223,1
141,180,225,1
60,117,179,1
112,152,211,1
139,139,193,1
57,116,185,1
102,151,221,1
97,96,45,2
73,76,31,2
53,56,24,2
60,80,138,1
32,33,7,2
15,14,0,2
72,75,30,2
152,190,254,1
51,53,17,2
130,170,223,1
202,212,255,1
90,68,247,2
84,85,35,2
52,43,200,2
138,139,89,2
57,121,186,1
139,140,90,2
161,165,129,2
58,55,41,2
0,0,201,2
110,114,167,1
201,200,162,2
13,14,12,2
175,176,134,2
3,24,146,2
50,49,15,2
107,142,208,1
193,191,156,2
91,94,39,2
120,149,103,2
37,0,141,2
126,158,224,1
91,89,35,2
133,136,87,2
111,150,212,1
152,186,245,1
227,214,84,2
2,134,104,2
97,138,201,1
131,131,131,2
70,125,186,1
165,164,114,2
141,181,246,1
7,8,4,2
136,139,90,2
205,204,170,2
126,164,218,1
125,161,225,1
147,188,251,1
100,135,203,1
134,157,19,2
144,164,229,1
159,160,110,2
81,132,202,1
61,124,192,1
1,3,181,2
148,186,250,1
153,194,255,1
162,159,108,2
45,41,40,2
53,100,152,1
104,160,87,2
106,141,204,1
172,170,122,2
197,197,157,2
106,209,204,2
110,151,214,1
66,121,178,1
56,127,195,1
110,150,209,1
171,172,133,2
156,160,124,2
185,185,139,2
136,179,246,1
103,146,195,1
172,169,124,2
150,188,253,1
113,130,187,1
147,146,90,2
191,192,150,2
201,200,162,2
91,97,150,1
103,145,212,1
23,26,10,2
35,34,8,2
136,175,227,1
172,169,124,2
177,171,128,2
0,137,106,2
166,180,233,1
132,165,214,1
125,157,223,1
152,190,254,1
143,164,226,1
28,29,9,2
143,181,246,1
58,119,183,1
152,164,228,1
166,163,112,2
122,121,63,2
199,208,252,1
164,163,113,2
97,100,91,2
145,148,99,2
176,175,131,2
183,179,138,2
46,107,169,1
198,198,158,2
89,121,192,1
95,99,150,1
118,119,57,2
57,111,171,1
84,140,222,1
129,132,87,2
99,115,174,1
56,83,217,2
52,93,142,1
98,101,85,2
46,46,32,2
63,130,199,1
104,146,211,1
182,180,132,2
138,139,89,2
178,177,127,2
161,175,224,1
201,200,162,2
177,175,127,2
149,185,255,1
23,10,2,2
169,170,126,2
73,89,126,1
199,182,173,2
130,82,88,2
114,109,106,2
64,55,21,2
169,163,118,2
148,147,91,2
183,182,148,2
109,154,211,1
177,177,129,2
79,90,128,1
156,176,217,1
117,123,176,1
181,181,135,2
150,166,232,1
165,167,121,2
201,200,162,2
148,151,102,2
168,165,127,2
57,59,23,2
166,180,229,1
55,89,142,1
82,94,134,1
64,132,199,1
59,128,198,1
150,153,107,2
67,68,26,2
182,179,134,2
25,28,13,2
182,179,134,2
98,148,224,1
63,64,24,2
182,178,137,2
134,160,227,1
91,169,81,2
183,183,135,2
41,0,145,2
53,101,165,1
195,211,255,1
167,163,114,2
192,192,152,2
54,58,17,2
133,133,187,1
137,176,245,1
148,188,247,1
78,78,32,2
93,136,223,1
161,180,223,1
56,117,183,1
74,131,187,1
54,96,143,1
170,164,117,2
0,0,194,2
115,151,215,1
121,152,213,1
140,160,225,1
93,87,152,2
176,158,151,2
200,198,163,2
177,171,126,2
97,143,220,1
107,106,50,2
255,192,253,2
35,100,84,2
164,163,113,2
1,1,1,2
80,86,129,1
173,141,100,2
177,174,129,2
183,184,145,2
74,76,30,2
60,63,24,2
174,188,241,1
141,142,132,2
51,90,135,1
167,164,113,2
56,57,23,2
139,158,233,1
118,155,215,1
198,156,113,2
5,6,4,2
82,52,255,2
33,34,8,2
120,156,220,1
111,149,214,1
56,56,56,2
194,208,255,1
47,99,152,1
37,39,17,2
49,87,135,1
59,113,173,1
172,171,121,2
167,183,226,1
147,186,254,1
109,137,198,1
58,102,156,1
180,177,132,2
73,82,125,1
76,87,125,1
147,146,155,2
151,188,238,1
166,166,118,2
144,142,101,2
100,106,159,1
169,168,118,2
40,75,61,2
4,8,2,2
178,175,131,2
137,140,91,2
56,101,152,1
119,156,224,1
127,163,217,1
98,145,219,1
193,216,255,1
173,172,122,2
165,163,115,2
178,175,130,2
178,175,131,2
178,178,132,2
157,155,101,2
78,85,124,1
149,148,92,2
143,167,227,1
172,177,132,2
166,187,248,1
205,204,170,2
104,153,223,1
172,170,122,2
177,175,127,2
140,140,86,2
119,156,218,1
38,0,142,2
120,156,226,1
77,83,128,1
172,186,234,1
134,136,94,2
55,56,22,2
164,163,113,2
143,185,252,1
119,157,211,1
196,208,250,1
166,182,235,1
46,159,85,2
116,149,212,1
56,20,226,2
149,191,250,1
164,163,113,2
102,171,91,2
147,168,230,1
99,129,194,1
99,146,220,1
140,143,97,2
18,12,0,2
56,61,22,2
159,166,229,1
0,20,150,2
51,97,145,1
70,154,66,2
165,164,114,2
178,175,131,2
171,187,240,1
78,118,193,1
72,129,191,1
144,184,249,1
139,141,89,2
223,152,84,2
57,74,131,1
100,137,199,1
100,147,221,1
71,82,120,1
156,191,255,1
129,131,89,2
141,174,219,1
173,172,122,2
144,184,249,1
171,170,120,2
0,0,0,2
109,107,53,2
152,158,223,1
174,171,126,2
110,153,210,1
181,180,130,2
166,165,131,2
131,163,228,1
21,18,3,2
115,150,214,1
44,98,153,1
170,168,120,2
124,171,233,1
91,140,220,1
180,177,132,2
185,172,164,2
151,175,235,1
148,147,91,2
114,107,110,2
175,191,237,1
199,197,163,2
164,162,114,2
148,149,99,2
193,193,153,2
41,41,11,2
0,0,0,2
147,144,99,2
135,138,93,2
151,173,24,2
85,114,183,1
51,53,17,2
216,178,66,2
44,45,11,2
102,139,199,1
239,242,246,2
69,86,72,2
133,177,238,1
166,165,115,2
40,91,153,1
56,96,144,1
159,176,225,1
139,139,139,2
188,187,143,2
198,198,158,2
87,86,30,2
54,54,18,2
196,193,155,2
60,54,17,2
89,137,215,1
151,189,253,1
127,127,67,2
179,173,130,2
173,171,123,2
202,201,163,2
162,160,106,2
182,180,132,2
196,195,157,2
198,196,162,2
177,174,129,2
179,177,129,2
184,183,139,2
25,26,17,2
102,145,212,1
201,199,164,2
122,121,63,2
49,93,140,1
69,73,31,2
99,143,197,1
202,201,163,2
56,61,22,2
170,169,125,2
45,90,133,1
89,103,155,1
55,56,24,2
189,187,147,2
172,188,235,1
57,110,173,1
197,195,160,2
124,127,182,1
92,91,65,2
174,190,233,1
178,174,146,2
113,144,213,1
198,198,162,2
17,14,0,2
52,93,142,1
171,167,118,2
173,174,132,2
35,34,8,2
141,171,226,1
177,176,126,2
51,52,18,2
16,7,188,2
142,159,222,1
54,110,255,2
199,198,164,2
33,34,8,2
45,93,141,1
130,162,228,1
49,107,159,1
52,54,18,2
105,147,212,1
49,96,158,1
48,103,148,1
131,143,209,1
38,91,141,1
111,148,204,1
46,106,166,1
172,170,122,2
90,68,247,2
124,157,226,1
173,172,122,2
169,175,126,2
153,191,255,1
62,78,137,1
156,194,252,1
83,100,151,1
116,150,210,1
68,130,190,1
199,197,163,2
47,70,132,1
138,140,88,2
113,153,212,1
164,160,112,2
146,177,238,1
23,17,6,2
121,158,220,1
124,117,114,2
4,5,1,2
119,112,119,2
73,248,214,2
165,169,134,2
69,71,25,2
52,104,150,1
96,98,68,2
126,128,182,1
160,176,229,1
40,67,118,1
180,177,132,2
4,3,0,2
50,96,144,1
44,45,5,2
112,111,55,2
178,194,237,1
125,158,214,1
61,121,187,1
152,189,247,1
175,174,124,2
225,219,220,2
121,140,167,1
143,176,226,1
46,29,216,2
129,169,222,1
52,53,13,2
134,131,186,1
162,160,112,2
108,109,59,2
183,184,144,2
73,109,185,1
78,87,131,1
178,175,131,2
12,13,0,2
27,25,114,2
84,90,131,1
50,94,141,1
76,130,191,1
137,179,244,1
182,177,132,2
14,15,13,2
44,96,156,1
114,159,216,1
85,94,132,1
132,133,93,2
173,186,230,1
46,94,152,1
72,181,233,2
191,190,152,2
102,141,203,1
61,69,28,2
148,188,253,1
173,170,125,2
188,176,128,2
0,1,0,2
115,146,215,1
82,82,34,2
163,161,113,2
177,193,239,1
141,141,141,2
99,101,89,2
158,176,235,1
53,57,22,2
210,18,232,2
61,123,194,1
82,135,202,1
143,183,231,2
116,167,229,2
0,18,152,2
31,32,6,2
133,163,218,1
57,118,186,1
16,14,4,2
100,152,222,1
73,74,35,2
73,90,139,1
179,177,129,2
123,173,231,1
150,174,234,1
159,177,240,1
60,129,198,1
150,188,252,1
163,161,113,2
56,115,177,1
148,172,232,1
76,125,201,1
248,250,250,2
188,153,163,2
168,184,237,1
125,164,216,1
198,198,158,2
69,71,25,2
116,69,132,2
198,207,250,1
135,163,227,1
151,189,237,1
178,175,131,2
141,144,95,2
201,211,251,1
220,119,141,2
159,163,121,2
116,116,116,2
181,178,133,2
134,174,223,1
98,138,210,1
1,4,2,2
108,135,215,1
154,185,230,1
16,14,4,2
78,90,126,1
101,138,196,1
153,152,96,2
50,112,183,1
198,195,164,2
182,179,135,2
114,151,219,1
150,152,100,2
165,183,230,1
141,104,208,2
160,193,232,1
8,8,0,2
114,147,220,1
61,63,21,2
177,176,132,2
49,117,184,1
149,173,233,1
255,255,251,2
46,86,128,1
140,140,86,2
148,148,88,2
60,63,47,2
229,161,102,2
201,200,162,2
155,158,113,2
201,200,162,2
114,156,223,1
165,164,114,2
18,55,23,2
80,40,0,2
105,130,186,1
39,40,8,2
201,200,162,2
165,163,115,2
169,185,228,1
93,95,43,2
93,125,191,1
110,145,219,1
155,159,124,2
178,176,128,2
80,86,129,1
184,182,147,2
54,112,177,1
55,110,171,1
174,172,124,2
128,161,224,1
143,165,230,1
159,163,128,2
235,111,93,2
195,194,156,2
54,55,21,2
169,169,115,2
154,158,122,2
17,8,189,2
157,194,255,1
117,129,201,1
15,14,0,2
79,82,33,2
80,79,171,2
2,1,5,2
182,179,135,2
2,4,0,2
19,16,2,2
93,147,218,1
55,55,25,2
165,163,115,2
104,140,216,1
181,178,134,2
63,128,196,1
32,30,6,2
114,115,59,2
64,62,22,2
122,153,222,1
47,49,30,2
151,162,230,1
175,173,125,2
190,191,205,2
77,80,31,2
181,178,134,2
15,14,0,2
158,198,255,1
54,102,154,1
164,180,233,1
127,170,219,1
84,89,138,1
74,75,36,2
68,68,22,2
28,27,6,2
122,124,82,2
181,177,136,2
178,176,128,2
118,117,59,2
46,45,35,2
116,148,219,1
104,103,47,2
154,158,122,2
145,156,218,1
142,182,247,1
84,187,182,2
107,107,59,2
118,156,210,1
232,214,215,2
33,34,32,2
88,49,255,2
177,174,130,2
155,170,219,1
82,90,130,1
20,17,2,2
130,169,221,1
113,140,174,1
118,150,215,1
140,179,247,1
178,176,165,2
0,128,0,2
161,165,130,2
172,174,138,2
181,143,49,2
163,178,234,1
195,194,160,2
117,119,173,1
132,164,229,1
2,0,0,2
128,167,219,1
98,141,208,1
111,214,209,2
166,167,117,2
3,2,0,2
32,34,5,2
193,192,154,2
105,143,201,1
79,165,81,2
140,139,89,2
142,182,247,1
3,2,0,2
45,95,155,1
149,159,223,1
79,51,211,2
119,121,175,1
54,55,21,2
9,32,10,2
60,58,47,2
142,145,96,2
130,162,228,1
180,178,137,2
122,125,180,1
75,86,124,1
200,198,163,2
102,105,60,2
66,130,194,1
51,53,17,2
146,114,95,2
151,163,229,1
61,112,168,1
169,183,235,1
143,181,235,1
57,54,46,2
146,162,228,1
107,113,166,1
192,192,152,2
134,175,224,1
174,173,123,2
52,100,148,1
73,75,29,2
178,175,131,2
54,55,21,2
47,104,155,1
73,85,125,1
110,57,71,2
64,82,143,1
129,168,220,1
178,177,127,2
143,146,101,2
121,158,220,1
100,148,220,1
174,173,123,2
55,56,22,2
144,187,244,1
80,76,27,2
62,107,158,1
64,69,24,2
92,89,145,2
53,53,17,2
100,105,160,1
93,91,37,2
69,70,26,2
61,62,20,2
9,51,34,2
84,92,132,1
167,166,115,2
154,152,98,2
106,105,47,2
36,83,144,1
157,161,126,2
174,173,123,2
202,201,163,2
193,213,170,2
83,82,44,2
2,8,0,2
161,182,243,1
200,198,163,2
206,216,255,1
158,162,126,2
175,189,242,1
41,112,255,2
91,97,150,1
117,147,218,1
39,94,151,1
123,155,220,1
108,226,251,2
138,139,89,2
162,158,164,2
55,60,21,2
47,100,157,1
198,197,159,2
132,172,221,1
175,173,125,2
50,52,16,2
164,163,113,2
167,181,234,1
23,9,235,2
158,162,126,2
76,79,29,2
159,161,115,2
153,189,227,1
206,201,170,2
168,184,230,1
105,143,207,1
3,7,8,2
154,192,255,1
109,109,61,2
248,124,90,2
196,195,157,2
100,147,221,1
157,161,126,2
127,136,203,1
82,90,130,1
171,173,131,2
35,34,8,2
113,170,232,1
93,33,21,2
119,151,217,1
115,148,204,1
52,55,23,2
51,103,163,1
79,91,131,1
173,172,122,2
147,169,234,1
18,20,1,2
50,51,9,2
103,145,210,1
173,172,122,2
103,146,203,1
51,53,17,2
136,136,82,2
180,179,135,2
207,216,254,1
115,145,202,1
104,118,171,1
80,78,30,2
52,93,142,1
146,117,102,2
178,198,239,1
95,154,255,2
17,109,192,2
198,197,159,2
179,177,129,2
121,158,220,1
170,186,232,1
132,168,222,1
164,160,112,2
138,164,230,1
89,67,246,2
152,151,95,2
16,14,3,2
97,188,227,2
158,173,229,1
155,159,118,2
168,182,234,1
62,119,181,1
31,32,6,2
174,143,98,2
122,159,221,1
172,169,124,2
109,115,168,1
108,153,227,1
42,86,140,1
200,198,164,2
105,154,224,1
201,211,255,1
77,85,125,1
174,173,122,2
172,187,233,1
74,82,122,1
78,110,159,1
71,121,181,1
14,16,10,2
0,1,1,2
20,18,0,2
134,169,225,1
177,176,132,2
62,111,173,1
179,176,132,2
164,163,113,2
76,79,40,2
199,198,160,2
175,175,127,2
58,59,19,2
102,103,61,2
150,95,218,2
129,168,220,1
132,176,240,1
121,152,205,1
170,170,124,2
171,170,120,2
170,142,125,2
142,181,236,1
179,177,129,2
151,189,253,1
196,195,157,2
161,160,110,2
87,138,224,1
91,133,210,1
168,180,234,1
24,25,16,2
136,138,92,2
147,183,229,1
167,171,129,2
150,152,100,2
67,104,184,1
125,163,217,1
151,150,94,2
86,85,89,2
164,162,127,2
114,156,209,1
174,190,236,1
175,188,234,1
126,128,98,2
247,251,252,2
223,148,140,2
136,178,243,1
64,173,95,2
177,191,244,1
111,109,108,2
61,114,177,1
110,149,211,1
129,164,228,1
169,169,123,2
116,218,213,2
131,134,89,2
173,189,235,1
174,142,99,2
47,97,157,1
195,194,156,2
50,122,192,1
49,100,162,1
92,138,215,1
109,148,216,1
143,82,62,2
134,169,219,1
101,151,223,1
123,164,227,1
153,188,252,1
179,152,115,2
102,150,222,1
152,188,224,1
123,41,29,2
212,193,202,2
49,57,20,2
64,69,24,2
178,175,130,2
166,167,133,2
193,202,222,2
34,35,9,2
114,116,64,2
105,143,201,1
141,166,230,1
160,157,112,2
179,179,139,2
199,197,163,2
124,162,226,1
176,193,236,1
0,255,255,2
164,160,112,2
96,144,222,1
160,188,252,1
172,186,238,1
146,155,218,1
153,191,255,1
97,108,160,1
119,122,177,1
172,171,121,2
123,124,74,2
140,137,86,2
183,181,133,2
166,164,116,2
46,43,29,2
180,182,140,2
4,8,3,2
201,200,162,2
32,33,7,2
183,185,193,2
159,168,232,1
83,91,131,1
76,88,40,2
144,146,94,2
47,63,22,2
106,145,213,1
186,183,138,2
147,165,230,1
158,195,255,1
2,0,0,2
178,176,128,2
190,184,139,2
201,200,162,2
0,0,1,2
89,142,222,1
120,155,221,1
30,72,117,1
227,154,86,2
34,33,7,2
66,125,187,1
73,115,192,1
57,112,173,1
148,161,223,1
199,206,255,1
51,53,17,2
197,195,160,2
172,173,131,2
168,182,235,1
127,165,219,1
184,186,144,2
153,191,255,1
14,14,2,2
244,233,229,2
115,153,217,1
55,95,143,1
80,78,24,2
51,53,17,2
202,200,165,2
143,183,248,1
111,152,214,1
136,137,81,2
0,3,0,2
201,200,162,2
98,144,221,1
121,155,225,1
107,104,83,2
156,157,115,2
28,24,6,2
50,77,211,2
70,79,123,1
168,166,118,2
80,115,189,1
41,77,53,2
156,159,109,2
124,136,194,1
63,68,23,2
58,62,27,2
136,136,136,2
70,95,145,1
118,159,222,1
129,166,224,1
101,153,223,1
181,178,134,2
39,96,148,1
175,172,127,2
125,172,39,2
157,194,254,1
102,137,203,1
144,183,251,1
41,70,121,1
178,175,124,2
0,0,164,2
62,62,22,2
165,181,224,1
20,19,0,2
161,177,230,1
178,193,242,1
53,166,78,2
175,175,129,2
48,90,137,1
125,123,165,2
60,112,172,1
135,175,227,1
180,180,140,2
164,163,113,2
93,99,152,1
150,188,252,1
177,175,127,2
126,151,171,1
0,0,0,2
112,139,189,1
125,132,247,2
138,164,234,1
54,99,150,1
166,166,112,2
135,177,242,1
83,86,130,1
104,153,221,1
152,190,254,1
68,70,24,2
61,65,24,2
117,150,223,1
111,149,214,1
58,119,185,1
52,53,19,2
46,48,12,2
141,181,246,1
51,53,17,2
107,138,207,1
198,197,171,2
165,180,229,1
141,179,221,1
117,166,228,1
70,73,28,2
65,65,65,2
10,7,2,2
115,156,218,1
54,106,166,1
134,161,225,1
164,163,113,2
84,91,130,1
55,102,158,1
42,88,135,1
134,160,227,1
122,161,213,1
61,118,180,1
110,212,207,2
198,197,159,2
58,101,150,1
98,149,219,1
147,163,230,1
157,195,255,1
82,101,152,1
151,165,231,1
67,132,201,1
70,72,26,2
170,87,142,2
92,100,153,1
171,188,231,1
50,69,126,1
177,174,130,2
167,182,231,1
178,169,132,2
151,185,245,1
50,75,139,1
187,188,149,2
164,160,112,2
247,249,249,2
92,28,23,2
4,0,72,2
140,143,97,2
54,51,7,2
163,162,112,2
5,5,0,2
47,102,147,1
95,104,154,1
13,14,5,2
61,57,16,2
129,168,220,1
169,167,119,2
123,1480,220,1
153,196,253,1
102,139,197,1
140,140,86,2
0,136,249,2
68,69,27,2
62,130,197,1
59,112,252,2
185,184,140,2
127,127,127,2
120,120,96,2
172,190,237,1
88,141,221,1
145,147,95,2
195,193,153,2
168,164,115,2
84,94,134,1
57,127,255,2
132,162,219,1
49,99,152,1
175,173,125,2
59,113,176,1
204,203,169,2
232,125,141,2
128,170,217,1
147,142,197,1
150,188,252,1
109,115,168,1
140,165,229,1
164,178,227,1
94,138,202,1
147,149,97,2
179,177,129,2
98,146,218,1
107,210,205,2
178,175,131,2
39,119,106,2
103,141,205,1
56,57,17,2
200,200,160,2
57,104,158,1
177,171,126,2
116,148,221,1
15,15,3,2
76,83,126,1
133,78,63,2
157,161,126,2
101,136,202,1
4,4,0,2
201,211,251,1
37,35,5,2
114,144,215,1
0,159,253,2
163,162,112,2
75,84,128,1
170,186,232,1
146,144,90,2
54,109,170,1
55,56,22,2
56,103,157,1
110,149,211,1
56,106,158,1
224,155,86,2
116,139,189,1
161,164,125,2
206,218,254,1
179,176,132,2
116,116,46,2
154,153,97,2
64,128,192,1
141,168,232,1
65,165,70,2
92,92,44,2
67,119,179,1
122,120,112,2
149,188,255,1
133,175,246,1
9,8,4,2
166,166,118,2
48,107,169,1
167,164,113,2
104,150,227,1
126,155,224,1
120,154,220,1
160,198,255,1
70,72,26,2
95,138,205,1
163,165,119,2
177,178,134,2
52,94,139,1
68,120,173,1
120,150,207,1
54,105,167,1
129,170,219,1
98,99,37,2
95,144,214,1
45,47,5,2
162,160,112,2
201,200,162,2
184,185,141,2
180,195,244,1
59,102,153,1
86,29,20,2
52,53,14,2
139,178,252,1
126,154,208,1
130,169,224,1
162,175,231,1
148,185,253,1
4,3,0,2
67,86,131,1
132,131,73,2
113,159,217,1
151,153,101,2
138,161,229,1
61,123,187,1
203,201,167,2
132,172,224,1
168,176,235,1
14,14,0,2
151,169,216,1
86,87,37,2
62,30,239,2
105,143,201,1
46,97,160,1
145,183,225,1
146,165,232,1
126,162,226,1
132,134,75,2
125,163,217,1
179,178,134,2
51,102,164,1
202,200,165,2
220,114,120,2
49,51,22,2
49,50,10,2
153,175,233,1
146,190,251,1
152,154,108,2
166,162,114,2
204,211,254,1
174,174,126,2
141,139,85,2
179,177,129,2
202,201,163,2
199,197,162,2
135,178,227,1
83,92,130,1
116,118,82,2
174,172,124,2
148,183,249,1
59,61,25,2
188,186,138,2
16,13,8,2
199,197,163,2
55,60,21,2
98,90,155,2
57,107,165,1
179,196,239,1
59,54,213,2
147,146,102,2
137,178,223,1
45,101,150,1
66,67,25,2
178,177,139,2
157,159,113,2
158,195,255,1
155,159,123,2
144,186,228,1
104,107,158,1
115,159,212,1
163,159,124,2
61,62,22,2
185,185,145,2
158,179,234,1
147,182,245,1
97,148,221,1
135,133,102,2
142,185,228,1
180,179,135,2
121,154,223,1
79,87,127,1
43,45,25,2
125,157,223,1
133,169,223,1
181,178,134,2
21,149,198,2
135,176,225,1
0,31,136,2
149,167,230,1
40,88,146,1
104,155,225,1
76,108,174,1
182,182,136,2
52,106,153,1
101,127,164,1
61,128,197,1
110,154,208,1
125,164,216,1
201,199,164,2
59,58,14,2
158,177,222,1
157,159,113,2
102,140,205,1
126,126,86,2
176,192,238,1
101,141,190,1
130,129,78,2
141,144,98,2
181,178,134,2
197,196,158,2
131,164,227,1
167,163,114,2
57,109,155,1
99,146,220,1
98,134,222,1
128,130,184,1
86,67,240,2
117,123,176,1
100,138,196,1
157,193,255,1
5,191,1,2
172,170,122,2
182,180,132,2
156,192,255,1
21,15,2,2
4,64,54,2
177,192,238,1
51,95,142,1
145,161,228,1
80,89,127,1
53,54,20,2
91,87,63,2
203,211,248,1
179,178,134,2
100,150,222,1
37,83,147,1
185,179,136,2
167,183,236,1
172,188,230,1
79,91,131,1
201,199,164,2
43,46,31,2
37,90,141,1
25,25,1,2
147,180,229,1
107,147,212,1
157,162,223,1
138,140,88,2
198,198,158,2
116,137,168,1
97,137,190,1
169,181,235,1
133,173,222,1
85,92,141,1
52,72,130,1
111,152,214,1
94,131,75,2
57,59,23,2
146,180,240,1
128,135,190,1
139,141,89,2
0,0,1,2
126,126,78,2
136,178,245,1
95,97,151,1
199,197,162,2
126,129,184,1
106,158,228,1
32,33,7,2
49,48,14,2
165,165,117,2
91,118,102,2
116,155,224,1
95,142,216,1
24,62,170,2
151,189,253,1
107,255,241,2
70,67,16,2
132,176,239,1
64,83,134,1
153,189,227,1
80,82,36,2
179,180,138,2
150,186,255,1
114,144,215,1
250,237,235,2
170,163,120,2
48,49,15,2
106,104,46,2
247,240,223,2
201,200,162,2
60,100,149,1
73,74,30,2
233,243,250,2
170,168,128,2
178,177,133,2
40,96,83,2
149,185,255,1
199,198,164,2
144,183,251,1
149,186,254,1
102,141,193,1
122,121,117,2
168,169,119,2
174,175,131,2
103,148,222,1
77,90,128,1
72,119,171,1
175,180,241,1
247,249,249,2
146,164,225,1
165,179,232,1
163,163,115,2
107,110,54,2
92,125,194,1
100,142,211,1
134,136,190,1
167,163,114,2
62,63,23,2
255,0,0,2
64,65,21,2
58,110,170,1
53,57,21,2
150,193,255,1
138,136,82,2
140,152,216,1
179,177,129,2
171,161,127,2
89,136,218,1
195,194,156,2
124,163,208,1
60,63,24,2
145,146,96,2
154,164,228,1
136,178,243,1
205,204,170,2
139,166,230,1
96,143,217,1
176,174,126,2
76,84,124,1
157,194,255,1
181,178,133,2
16,14,3,2
100,155,224,1
156,159,114,2
78,84,127,1
163,162,112,2
120,158,222,1
163,177,226,1
158,178,219,1
153,191,255,1
165,163,115,2
64,97,146,1
248,250,250,2
98,102,155,1
168,184,230,1
128,162,228,1
123,156,212,1
178,175,130,2
182,179,134,2
0,2,0,2
102,114,172,1
166,180,232,1
203,200,162,2
16,14,13,2
180,178,137,2
88,92,145,1
119,158,220,1
124,159,225,1
127,87,188,2
57,58,18,2
173,187,240,1
51,102,165,1
182,183,141,2
109,152,215,1
143,140,89,2
69,59,195,2
158,194,254,1
15,14,0,2
64,65,25,2
77,82,127,1
161,159,119,2
97,145,223,1
129,173,227,1
48,104,151,1
142,146,104,2
89,123,177,1
228,157,90,2
54,95,144,1
84,93,130,1
136,158,230,1
129,129,69,2
16,14,3,2
115,154,223,1
183,183,137,2
168,173,142,2
119,141,166,1
103,131,162,1
8,15,10,2
181,175,134,2
117,151,210,1
24,23,2,2
54,55,21,2
180,178,137,2
178,178,132,2
44,102,161,1
221,207,208,2
65,68,23,2
1,128,102,2
162,176,228,1
186,185,141,2
173,171,123,2
197,196,158,2
19,73,44,2
58,101,144,1
145,146,96,2
140,179,223,1
123,124,108,2
131,131,131,2
107,145,209,1
138,167,236,1
55,98,147,1
104,151,225,1
57,97,145,1
82,91,129,1
71,69,58,2
164,163,113,2
199,197,162,2
201,199,164,2
132,135,90,2
199,198,160,2
62,127,195,1
98,97,46,2
127,166,218,1
150,191,254,1
45,101,148,1
198,196,162,2
120,158,212,1
74,75,25,2
187,186,142,2
147,146,90,2
119,118,60,2
160,198,230,1
229,214,205,2
182,182,134,2
52,101,163,1
198,198,158,2
34,85,135,1
81,75,28,2
89,162,124,2
182,179,135,2
110,122,234,2
75,82,125,1
125,132,89,2
170,184,237,1
182,180,139,2
66,68,26,2
108,139,200,1
156,195,255,1
37,110,255,2
244,165,156,2
151,161,225,1
31,70,49,2
35,34,0,2
207,215,255,1
50,101,163,1
68,87,138,1
149,165,232,1
5,0,0,2
194,192,152,2
63,121,180,1
146,168,226,1
81,53,207,2
119,150,211,1
3,2,0,2
144,166,218,1
164,171,134,2
128,159,228,1
126,129,184,1
169,165,117,2
161,159,105,2
196,180,168,2
122,162,214,1
152,153,97,2
179,195,237,1
91,91,37,2
31,32,6,2
82,118,188,1
120,152,218,1
153,159,118,2
178,176,128,2
165,183,236,1
199,197,162,2
134,176,241,1
179,177,129,2
56,103,157,1
59,89,144,1
150,161,229,1
201,200,162,2
165,162,111,2
97,97,43,2
146,147,107,2
205,204,170,2
155,159,124,2
99,105,158,1
201,211,251,1
187,187,147,2
25,44,23,2
154,192,255,1
173,171,123,2
250,134,93,2
176,189,233,1
175,176,134,2
171,180,129,2
136,139,90,2
142,144,102,2
225,223,223,2
144,179,229,1
179,176,131,2
178,191,237,1
62,126,197,1
179,180,138,2
100,92,157,2
136,132,79,2
123,164,219,1
144,133,135,2
193,194,150,2
201,199,164,2
48,98,156,1
77,50,207,2
157,196,255,1
96,143,217,1
145,176,231,1
50,114,179,1
169,169,123,2
168,170,128,2
128,132,120,2
152,143,199,1
111,110,82,2
180,177,133,2
41,90,152,1
136,139,90,2
98,102,155,1
172,172,124,2
37,38,12,2
16,14,3,2
136,139,90,2
80,51,200,2
180,177,126,2
102,144,211,1
155,161,220,1
50,94,141,1
170,171,139,2
66,89,137,1
156,179,235,1
37,36,2,2
50,116,181,1
168,181,233,1
56,116,182,1
80,46,206,2
78,85,124,1
177,177,137,2
118,143,223,1
65,109,173,1
182,184,148,2
143,146,101,2
153,191,255,1
180,189,246,1
176,192,238,1
